moeda;valor
MILREIS;240000
Cr$;300,00
Cr$;380,00
Cr$;1.200,00
Cr$;2400,00
Cr$;3.800,00
Cr$;6.000,00
Cr$;9.600,00
Cr$;13.440,00
Cr$;21.000,00
Cr$;42.000,00
Cr$;66.000,00
Cr$;84.000,00
NCr$;105,00
NCr$;129,60
NCr$;156,00
NCr$;187,20
Cr$;225,60
Cr$;268,80
Cr$;312,00
Cr$;376,80
Cr$;415,20
Cr$;532,80
Cr$;768,00
Cr$;1.106,40
Cr$;1.560,00
Cr$;2.268,00
Cr$;2.932,80
Cr$;4.149,60
Cr$;5.788,80
Cr$;8.464,80
Cr$;11.928,00
Cr$;16.608,00
Cr$;23.568,00
Cr$;34.776,00
Cr$;57.120,00
Cr$;97.176,00
Cr$;166.560,00
Cr$;333.120,00
Cr$;600.000,00
Cz$;804,00
Cz$;964,80
Cz$;1.368,00
Cz$;1.641,60
Cz$;1.969,92
Cz$;1.970,00
Cz$;2.400,00
Cz$;2.640,00
Cz$;3.000,00
Cz$;3.600,00
Cz$;4.500,00
Cz$;5.280,00
Cz$;6.240,00
Cz$;7.260,00
Cz$;8.712,00
Cz$;10.368,00
Cz$;12.444,00
Cz$;15.552,00
Cz$;18.960,00
Cz$;23.700,00
Cz$;30.800,00
Cz$;40.425,00
Cz$;54.374,00
NCz$;63,90
NCz$;81,40
NCz$;120,00
NCz$;149,80
NCz$;192,88
NCz$;249,48
NCz$;381,73
NCz$;557,33
NCz$;788,18
NCz$;1.283,95
NCz$;2.004,37
NCz$;3.674,06
Cr$;3.674,06
Cr$;3.674,06
Cr$;3.857,76
Cr$;4.904,76
Cr$;5.203,46
Cr$;6.056,31
Cr$;6.425,14
Cr$;8.329,55
Cr$;8.836,82
Cr$;12.325,60
Cr$;15.895,46
Cr$;17.000,00
Cr$;42.000,00
Cr$;96.037,33
Cr$;230.000,00
Cr$;522.186,94
Cr$;1.250.700,00
Cr$;1.709.400,00
Cr$;3.303.300,00
Cr$;4.639.800,00
CR$;5.534,00
CR$;9.606,00
CR$;12.024,00
CR$;15.021,00
CR$;18.760,00
CR$;32.882,00
CR$;42.829,00
URV;64,79
R$;64,79
R$;70,00
R$;70,00
R$;70,00
R$;100,00
R$;112,00
R$;120,00
R$;130,00
R$;136,00
R$;151,00
R$;180,00
R$;200,00
R$;240,00
R$;260,00
R$;300,00
R$;350,00
R$;380,00
R$;415,00
R$;465,00
R$;510,00
R$;540,00
R$;545,00
R$;622,00
R$;678,00
R$;724,00
R$;788,00